ALG,GATES,PLANES,TIME
FCFS,4,6,81
FCFS,2,15,141
FCFS,5,3,45
FCFS,1,13,111.5909091
FCFS,5,9,100.5
FCFS,7,16,141
FCFS,7,17,138.375
FCFS,2,2,56
FCFS,1,24,158
FCFS,3,22,174
FCFS,5,13,123
FCFS,4,13,126.2222222
FCFS,2,4,83.8
FCFS,6,14,131.0952381
FCFS,1,23,150.5
FCFS,2,13,128.1818182
FCFS,9,11,114.3333333
FCFS,1,12,104.3478261
FCFS,2,13,121.5454545
FCFS,6,5,71.16666667
FCFS,3,13,128
FCFS,9,11,112.5
FCFS,8,8,94.06666667
FCFS,5,22,176.4
FCFS,1,12,106.7857143
FCFS,2,19,144.6666667
FCFS,4,16,142.6666667
FCFS,5,2,48.45454545
FCFS,1,14,109.7
FCFS,9,20,158.3636364
FCFS,9,23,166.2
FCFS,1,17,128.0714286
FCFS,5,2,46.3
FCFS,2,21,173.5
FCFS,5,7,89
FCFS,9,9,94.33333333
FCFS,7,19,155.0833333
FCFS,5,4,75
FCFS,5,6,86.5
FCFS,8,19,154.3888889
FCFS,5,4,65.72727273
FCFS,9,1,44.9
FCFS,7,24,180.5
FCFS,7,18,155
FCFS,8,2,50.46666667
FCFS,7,14,129.3333333
FCFS,2,1,36.45833333
FCFS,1,11,99.5
FCFS,8,4,65.5
FCFS,5,10,100.3636364
FCFS,3,16,140.0666667
FCFS,7,4,68.0625
FCFS,3,13,126.1176471
FCFS,4,20,156.3076923
FCFS,1,23,157.8333333
FCFS,1,11,97
FCFS,6,23,169.3157895
FCFS,8,19,149.7647059
FCFS,7,20,156.6875
FCFS,8,15,129
FCFS,6,4,63.2
FCFS,1,11,100.7142857
FCFS,9,24,172.2727273
FCFS,1,13,100.3333333
FCFS,2,11,113.4166667
FCFS,5,21,165.6
FCFS,7,5,73.66666667
FCFS,5,16,132.9444444
FCFS,8,23,167.65
FCFS,3,24,175.3333333
FCFS,9,6,80.33333333
FCFS,7,9,101.6
FCFS,5,23,177.4761905
FCFS,5,14,124.5217391
FCFS,4,16,147.2
FCFS,4,5,79.4
FCFS,9,21,160.4
FCFS,4,12,114.8
FCFS,5,11,103.8
FCFS,5,11,114
FCFS,9,23,170.1666667
FCFS,3,3,59.57142857
FCFS,1,3,58.25
FCFS,9,24,174.4615385
FCFS,6,2,46.875
FCFS,1,14,111
FCFS,7,6,72.5
FCFS,2,22,163
FCFS,7,20,153.6666667
FCFS,9,5,74.53846154
FCFS,5,19,159.8
FCFS,6,17,163
FCFS,5,15,130.75
FCFS,1,11,106.3333333
FCFS,9,2,49.85714286
FCFS,4,6,80
FCFS,9,23,170.3157895
FCFS,3,1,35.41666667
FCFS,1,18,130.6666667
FCFS,3,6,85.38095238
FCFS,9,16,134.3571429
FCFS,2,8,101.4
FCFS,4,23,174.1818182
FCFS,9,19,156
FCFS,7,24,177.0833333
FCFS,8,6,81.17647059
FCFS,6,7,89.33333333
FCFS,3,19,146.125
FCFS,7,18,147.7916667
FCFS,9,8,94.85714286
FCFS,4,15,129.8571429
FCFS,8,14,126.8333333
FCFS,7,3,52.25
FCFS,3,16,136.1764706
FCFS,2,19,136
FCFS,1,24,157.2608696
FCFS,5,1,38.90909091
FCFS,9,16,140.6666667
FCFS,8,6,82.05555556
FCFS,6,5,74.125
FCFS,6,5,74.08333333
FCFS,2,11,116.7
FCFS,4,6,83.06666667
FCFS,2,13,126.6956522
FCFS,6,13,109
FCFS,9,6,82.375
FCFS,7,2,47
FCFS,3,20,166.5
FCFS,9,9,95.36363636
FCFS,3,12,112
FCFS,9,13,125.2608696
FCFS,5,6,76.66666667
FCFS,3,16,142
FCFS,7,9,94
FCFS,5,13,121.8666667
