ALGORITHM,GATES,PLANES,TIME,,,
FWCHECK,8,21,210,,,
FWCHECK,5,12,142.9,,,
FWCHECK,4,18,213.3,,,
FWCHECK,2,2,57.3,,,
FWCHECK,4,4,58,,,
FWCHECK,2,5,112.5789474,,,
FWCHECK,1,19,130.7333333,,,
FWCHECK,3,14,162.8333333,,,
FWCHECK,8,10,128.1052632,,,
FWCHECK,4,6,93.85714286,,,
FWCHECK,5,12,160.5,,,
FWCHECK,8,1,44,,,
FWCHECK,2,7,155.8461538,,,
FWCHECK,2,16,306.173913,,,
FWCHECK,9,17,189.3333333,,,
FWCHECK,5,8,112.2307692,,,
FWCHECK,9,14,167.0666667,,,
FWCHECK,4,9,129.25,,,
FWCHECK,3,3,61.23076923,,,
FWCHECK,1,16,117.3846154,,,
FWCHECK,5,13,153.3888889,,,
FWCHECK,6,9,126,,,
FWCHECK,2,6,136.2105263,,,
FWCHECK,9,6,97.8,,,
FWCHECK,1,17,126,,,
FWCHECK,8,3,70.45454545,,,
FWCHECK,1,6,62.11111111,,,
FWCHECK,7,7,102.1428571,,,
FWCHECK,2,14,264.1,,,
FWCHECK,9,8,111,,,
FWCHECK,6,24,238.2142857,,,
FWCHECK,2,6,128,,,
FWCHECK,4,2,51.44444444,,,
FWCHECK,1,19,129.1111111,,,
FWCHECK,3,1,36.44444444,,,
FWCHECK,7,11,142.5,,,
FWCHECK,1,15,106.75,,,
FWCHECK,4,5,83.5,,,
FWCHECK,3,11,136.875,,,
FWCHECK,8,17,187.2105263,,,
FWCHECK,9,18,192.4615385,,,
FWCHECK,3,2,48.42857143,,,
FWCHECK,5,1,39.16666667,,,
FWCHECK,1,5,61.91666667,,,
FWCHECK,5,24,247.8461538,,,
FWCHECK,3,22,182,,,
FWCHECK,2,8,161.7,,,
FWCHECK,7,18,189.1818182,,,
FWCHECK,7,4,73.28571429,,,
FWCHECK,7,2,54.33333333,,,
FWCHECK,4,23,242.3181818,,,
FWCHECK,1,21,141.7857143,,,
FWCHECK,9,3,71.4,,,
FWCHECK,4,20,224,,,
FWCHECK,5,9,134.4,,,
FWCHECK,2,22,389.0434783,,,
FWCHECK,5,23,239.6363636,,,
FWCHECK,4,10,150,,,
FWCHECK,9,2,56.125,,,
FWCHECK,9,10,133.4,,,
FWCHECK,9,1,44.53846154,,,
FWCHECK,3,3,59.61111111,,,
FWCHECK,2,24,441.9411765,,,
FWCHECK,8,20,207.9166667,,,
FWCHECK,5,10,130.75,,,
FWCHECK,4,6,93.58823529,,,
FWCHECK,3,23,222.7142857,,,
FWCHECK,2,8,169.1333333,,,
FWCHECK,6,21,215.4,,,
FWCHECK,8,22,259,,,
FWCHECK,7,1,40,,,
FWCHECK,8,13,163,,,
FWCHECK,3,12,144.25,,,
FWCHECK,9,7,108.8333333,,,
FWCHECK,2,11,197,,,
FWCHECK,9,17,186.7777778,,,
FWCHECK,8,23,233.8636364,,,
FWCHECK,5,23,231.4,,,
FWCHECK,7,23,229.0588235,,,
FWCHECK,2,13,250.75,,,
FWCHECK,1,16,117.7058824,,,
FWCHECK,8,11,132,,,
FWCHECK,9,7,114.5,,,
FWCHECK,7,6,94.6875,,,
FWCHECK,6,1,39,,,
FWCHECK,8,14,166.4444444,,,
FWCHECK,2,11,209.9166667,,,
FWCHECK,9,4,75.21428571,,,
FWCHECK,1,10,85.73913043,,,
FWCHECK,6,9,122.3333333,,,
FWCHECK,9,16,177.5,,,
FWCHECK,6,14,167,,,
FWCHECK,1,16,123,,,
FWCHECK,4,17,209.875,,,
FWCHECK,7,6,93,,,
FWCHECK,9,12,157,,,
FWCHECK,4,8,113.2,,,
FWCHECK,1,21,143.35,,,
FWCHECK,5,3,60,,,
FWCHECK,1,11,110,,,
FWCHECK,9,20,214.3888889,,,
FWCHECK,6,12,140.125,,,
FWCHECK,5,3,62.68421053,,,
FWCHECK,9,14,170,,,
FWCHECK,8,17,183.3809524,,,
FWCHECK,9,12,147.3684211,,,
FWCHECK,9,21,242,,,
FWCHECK,1,11,105.6,,,
FWCHECK,8,9,118.5,,,
FWCHECK,5,24,254.7391304,,,
FWCHECK,3,16,173.3333333,,,
FWCHECK,8,14,151,,,
FWCHECK,7,19,189.5,,,
FWCHECK,4,8,122.25,,,
FWCHECK,7,19,191.3,,,
FWCHECK,2,23,397.8333333,,,
FWCHECK,6,7,103,,,
FWCHECK,5,24,247.4,,,
FWCHECK,4,14,158.5,,,
FWCHECK,2,3,78.86363636,,,
FWCHECK,1,20,138,,,
FWCHECK,9,23,222,,,
FWCHECK,1,21,144.5,,,
FWCHECK,7,7,105.0869565,,,
FWCHECK,5,2,47.2,,,
FWCHECK,6,19,198.5714286,,,
FWCHECK,4,18,202.75,,,
FWCHECK,7,17,181.4375,,,
FWCHECK,7,12,146.952381,,,
FWCHECK,1,23,155.5294118,,,
FWCHECK,7,15,171,,,
FWCHECK,5,9,115.8666667,,,
FWCHECK,8,10,124.1428571,,,
FWCHECK,1,20,136.25,,,
FWCHECK,1,8,90.5,,,
FWCHECK,9,11,139.3043478,,,
FWCHECK,8,13,156.5833333,,,
FWCHECK,4,15,177.7894737,,,
FWCHECK,2,4,101.0555556,,,
FWCHECK,5,5,81.1,,,
FWCHECK,9,24,256.5,,,
FWCHECK,6,13,152.3333333,,,
FWCHECK,7,15,162.8333333,,,
FWCHECK,4,7,105.5,,,
FWCHECK,9,12,148,,,
FWCHECK,4,14,181.5555556,,,
FWCHECK,1,23,156.5882353,,,
FWCHECK,4,17,198.4210526,,,
FWCHECK,1,16,118.3333333,,,
FWCHECK,2,21,373.2222222,,,
FWCHECK,2,21,402.1111111,,,
FWCHECK,8,14,162.5555556,,,
FWCHECK,8,24,230.5,,,
FWCHECK,8,23,228.5555556,,,
FWCHECK,3,23,226.2,,,
FWCHECK,1,24,150.9,,,
FWCHECK,6,9,123.2,,,
FWCHECK,3,18,195.7894737,,,
FWCHECK,3,12,153,,,
FWCHECK,8,21,212.7692308,,,
FWCHECK,7,16,171.6875,,,
FWCHECK,4,17,199.4615385,,,
FWCHECK,9,11,143.8,,,
FWCHECK,6,5,77.33333333,,,
FWCHECK,9,8,118.2,,,
FWCHECK,7,15,163,,,
FWCHECK,7,20,209,,,
FWCHECK,5,23,239.5909091,,,
FWCHECK,2,15,284.6666667,,,
FWCHECK,1,23,155.5217391,,,
FWCHECK,2,15,278.9230769,,,
FWCHECK,3,18,196.6956522,,,
FWCHECK,3,17,225.6666667,,,
FWCHECK,5,5,83.6,,,
FWCHECK,2,7,152.6,,,
FWCHECK,4,5,78,,,
FWCHECK,8,6,92.85714286,,,
FWCHECK,1,10,90.28571429,,,
FWCHECK,7,18,197.5,,,
FWCHECK,1,22,144.6666667,,,
FWCHECK,5,7,96.42857143,,,
FWCHECK,6,15,169.9,,,
FWCHECK,6,16,187.5,,,
FWCHECK,9,3,67.55555556,,,
FWCHECK,6,8,109.3076923,,,
FWCHECK,7,18,196.6,,,
FWCHECK,4,15,187.8888889,,,
FWCHECK,7,16,174.9473684,,,
FWCHECK,2,24,413.8333333,,,
FWCHECK,1,19,136.6666667,,,
FWCHECK,7,22,216.3333333,,,
FWCHECK,9,14,165.75,,,
FWCHECK,7,10,135,,,
FWCHECK,5,14,169.1428571,,,
FWCHECK,2,14,275.9473684,,,
FWCHECK,1,2,45.625,,,
FWCHECK,1,24,156.5,,,
FWCHECK,3,22,246,,,
FWCHECK,6,12,142.6875,,,
FWCHECK,6,14,162.6842105,,,
FWCHECK,8,9,120.4,,,
FWCHECK,2,3,81.2,,,
FWCHECK,7,9,115.5,,,
FWCHECK,3,4,72.52941176,,,
FWCHECK,1,19,131.5,,,
FWCHECK,1,1,31.04347826,,,
FWCHECK,9,7,106.4,,,
FWCHECK,8,17,198,,,
FWCHECK,1,14,109.4583333,,,
FWCHECK,1,13,101.2727273,,,
FWCHECK,8,6,94.875,,,
FWCHECK,2,5,117.5,,,
FWCHECK,4,4,69.875,,,
FWCHECK,7,20,207.9565217,,,
FWCHECK,8,17,182.375,,,
FWCHECK,1,1,31.76470588,,,
FWCHECK,5,18,189.75,,,
FWCHECK,3,5,87.53846154,,,
FWCHECK,7,6,86.29411765,,,
FWCHECK,6,15,186.6666667,,,
FWCHECK,8,17,168,,,
FWCHECK,9,10,131.9375,,,
FWCHECK,6,23,235.5,,,
FWCHECK,8,8,108.0952381,,,
FWCHECK,4,16,190.9411765,,,
FWCHECK,9,21,204.3333333,,,
FWCHECK,5,7,101.8695652,,,
FWCHECK,8,4,78.17391304,,,
FWCHECK,1,20,143.875,,,
FWCHECK,9,10,132.8461538,,,
FWCHECK,5,13,156.9166667,,,
FWCHECK,2,19,341.2857143,,,
FWCHECK,3,16,184.5,,,
FWCHECK,1,6,64.56521739,,,
FWCHECK,4,11,141.0769231,,,
FWCHECK,5,20,199.4666667,,,
FWCHECK,4,11,151.5909091,,,
FWCHECK,4,4,72.47058824,,,
FWCHECK,5,6,87,,,
FWCHECK,6,1,43,,,
FWCHECK,6,24,237.8636364,,,
FWCHECK,7,9,116.1875,,,
FWCHECK,8,20,204.875,,,
FWCHECK,2,9,197.625,,,
